customerID,Contract,MonthlyCharges,Probabilidad_Abandono %,Prediccion_Final
f57257bb945ea6a2b7fa0beca23b901344b2fb76abf2864823e206cb2652cd6d,Month-to-month,93.55,85.6,Alerta: Riesgo Alto
6f12a1effe35e274cbcc806383bc7208466aa4df705563c317ab8d2f5a1bf0c6,Month-to-month,95.1,85.5,Alerta: Riesgo Alto
f063f0ff5ad5b14a60a8516b66aaf29e93562da09f704dd3d3a6fe8d112ac8c0,Month-to-month,94.0,85.5,Alerta: Riesgo Alto
b7432f1368afecf134799d2c4e827bd469d8ed9acb2c405be0b9b7d633acdace,Month-to-month,93.85,85.2,Alerta: Riesgo Alto
7ecd7cea02465bb83217571847b12317b02b68144f0d475042e406eea08bbb23,Month-to-month,94.0,85.1,Alerta: Riesgo Alto
ed815548a6bd84cacb5699aeb41991f532a9e0722ab93a4f5e7abdbb40c9c677,Month-to-month,94.6,84.9,Alerta: Riesgo Alto
8bc5410cbbf0c3aab69ce5eb5377dee0e471936ad61c6ac2ad2f861a2c23e7be,Month-to-month,93.85,84.8,Alerta: Riesgo Alto
9b084c5dfc02dfe4bf5d62c0eb7cb75f6cad3d5132e9f0efc4ad07fd7d5fcf78,Month-to-month,94.85,84.7,Alerta: Riesgo Alto
cbd58223df84aeaa77aa2313afc37d4f9b58262ca50fee4d6e2bc330531563e0,Month-to-month,100.8,84.5,Alerta: Riesgo Alto
7c44c7ef8e1fd97dde47217d804433c064257ee5b7b10db9f65e149c778cbfe5,Month-to-month,94.3,84.2,Alerta: Riesgo Alto
86e92065531d5f9b53d504b17b8d04c1da5429dd8738c2f5b8633f8f0c41033e,Month-to-month,95.45,83.8,Alerta: Riesgo Alto
e76c41541bd57f45eafbe176164fbe7d9d3f7ca1493128747aeca89ed8cfc55f,Month-to-month,93.85,83.3,Alerta: Riesgo Alto
0ae2695ab5041632aca7221752a571a59666374231421a0191067cd366ba5491,Month-to-month,95.45,83.2,Alerta: Riesgo Alto
5a44c1a2db30be08b0144c45fdde5871c93b48c03a8778f645e96fcd8ef728f0,Month-to-month,94.6,83.1,Alerta: Riesgo Alto
a8612aa9f6d42ba807a2903cd01fa100117b7f749ced81e9eebc289da555599a,Month-to-month,99.25,82.9,Alerta: Riesgo Alto
8428f47b9b408a37b4d5c3b03ccc9058ca98498ff95c06f284e57b7ec5d07fb0,Month-to-month,95.15,82.6,Alerta: Riesgo Alto
9dc4a1befe10eeb0fc7aaa2f47766867e932d09fbf8dd62cace995cac1d37748,Month-to-month,95.2,82.5,Alerta: Riesgo Alto
7a270d611dd6e35552ac4d11b1df17a40f981d899c406e1229133335936cf627,Month-to-month,101.45,82.3,Alerta: Riesgo Alto
